year,faculty_name,department_name,pure_id,wos_id,doi,issued,doctype,language,title,abstract,keywords,subjects
2021,Erasmus School of Health Policy & Management,Health Care Governance (HCG),27576121,WOS:000679704500001,10.1177/00178969211035169,2021-07-29,Early Access,English,Co-creating an empowering health education intervention for urological cancer patients,"Objective: The effectiveness of health education for patients has often been suboptimal. The neglect of a focus on empowerment and the presence of implementation barriers have been put forward as possible explanations for this. This study aimed to gain insight into how to co-create and develop an empowerment theory-based health education intervention for urological cancer patients. Design: Bravo's empowerment intervention model provided the theoretical foundations for the work undertaken with urological cancer patients in the Netherlands, using a participatory interactive learning and action approach. Method: Insights into needs regarding health education were obtained through semi-structured interviews with patients (n = 22) and health professionals (n = 17). Subsequently, eight co-creation sessions (n = 30) were organised to translate these needs into a health education intervention. Results: An intervention in the form of digital patient information was developed. The information offered provides a view of the different care steps based on clinical guidelines but personalised in different ways. By connecting patients' empowerment needs to the information provided, and by taking health professionals' perspectives into account, barriers to health education were made visible and addressed. Conclusion: Patient empowerment theory proved valuable in better aligning a participatory research process with the empowerment needs of urological cancer patients. The programme theory developed may offer a valuable template for the development of future health education interventions.",urological cancer,"Public, Environmental & Occupational Health"
2021,Erasmus School of Health Policy & Management,Socio-Medical Sciences (SMS),37394278,WOS:000678530600001,10.1111/hex.13310,2021-07-27,Early Access,English,A research agenda on oral health care as a boundary object that unites the perspectives of patients and practitioners,"Context A research agenda for oral health care was established in the Netherlands using the Dialogue Model. This project served as a case study in which we applied boundary-work theory as a framework to understand boundaries (ie demarcations) between and within groups, and how these boundaries can be overcome. Objective To gain insights into the boundaries encountered when setting a research agenda, we analysed how this agenda served as a boundary object (ie circumstances, situations or material that connect actor groups and allow boundary crossing) that facilitated crossing boundaries and uniting the perspectives of patients and practitioners. Methods We used a thematic approach to analyse researchers' observations, meeting materials, emails, interviews with patients (n = 11) and a survey among patients and practitioners (n = 18). Results Setting the research agenda helped to cross boundaries in oral health care, which demonstrates its role as a boundary object. First, this made it possible to integrate research topics representing the perspectives and priorities of all patients and also to unite those perspectives. It was essential to involve practitioners at an early stage of the project so that they could better accept the patients' perspectives. This resulted in support for an integrated research agenda, which facilitated the crossing of boundaries. Conclusions The research agenda-setting project was found to serve as a boundary object in uniting the perspectives and priorities of patients and practitioners. Patient contribution Patient involvement in this case study was structured in the process of research agenda setting using the Dialogue Model.",research agenda setting,"Public, Environmental & Occupational Health"
2021,Erasmus School of Health Policy & Management,Health Care Governance (HCG),37726348,WOS:000677754400001,10.1080/17496535.2021.1954223,2021-07-27,Early Access,English,Tinkering as Collective Practice: A Qualitative Study on Handling Ethical Tensions in Supporting People with Intellectual or Psychiatric Disabilities,"The values of patient autonomy and community participation have become central in health care. However, care practices involve a plurality of possibly conflicting values. These values often transgress the borders of the individual professional-client relationship as they involve family members, other professionals and community organisations. Good care should acknowledge this relational complexity, which requires a collective handling of the tensions between values. To better understand this process, we draw on [Mol, A. 2008. The Logic of Care: Health and the Problem of Patient Choice. Routledge; Mol, A., I. Moser, and J. Pols. 2010a. Care in Practice: On Tinkering in Clinics, Homes and Farms. Transcript Verlag.) by developing the notion of collective tinkering. An ethnographic study was conducted in two teams in community housing services for people with Intellectual Disabilities and Severe Mental Illness. Collective tinkering is analysed (1) within teams; (2) between professionals, family members and professionals from different organisations providing care for the same client; and (3) in organising practices for a collective of clients. Collective tinkering involves assembling goods into a care practice, attentively experimenting with these care practices, and adjusting care accordingly within a collective of those involved in care for a particular client (group). When collective tinkering does not occur, the stakeholders excluded (e.g. clients or family members) may experience poor quality of care.",autonomy,Social Work
2021,Erasmus School of Health Policy & Management,Health Economics (HE),37203052,WOS:000675063700002,10.1007/s10198-021-01353-6,2021-07-20,Early Access,English,Did the COVID-19 pandemic change the willingness to pay for an early warning system for infectious diseases in Europe?,"The COVID-19 pandemic highlights the need for effective infectious disease outbreak prevention. This could entail installing an integrated, international early warning system, aiming to contain and mitigate infectious diseases outbreaks. The amount of resources governments should spend on such preventive measures can be informed by the value citizens attach to such a system. This was already recognized in 2018, when a contingent valuation willingness to pay (WTP) experiment was fielded, eliciting the WTP for such a system in six European countries. We replicated that experiment in the spring of 2020 to test whether and how WTP had changed during an actual pandemic (COVID-19), taking into account differences in infection rates and stringency of measures by government between countries. Overall, we found significant increases in WTP between the two time points, with mean WTP for an early warning system increasing by about 50% (median 30%), from around euro20 to euro30 per month. However, there were marked differences between countries and subpopulations, and changes were only partially explained by COVID-19 burden. We discuss possible explanations for and implication of our findings.",Multi-country study,Health Care Sciences & Services
2021,Erasmus School of Health Policy & Management,Health Systems and Insurance (HSI),37347982,WOS:000673816800001,10.1007/s10198-021-01346-5,2021-07-15,Article,English,How the COVID-19 pandemic can distort risk adjustment of health plan payment,"The COVID-19 pandemic has led to disruptions in healthcare utilization and spending. While some changes might persist (e.g. substitution of specialist visits by online consultations), others will be transitory (e.g. fewer surgical procedures due to cancellation of treatments). This paper discusses the implications of transitory changes in healthcare utilization and spending for risk adjustment of health plan payment. In practice, risk adjustment methodologies typically consist of two steps: (1) calibration of payment weights for a given set of risk adjusters and (2) calculation of payments to insurers by combining the calibrated weights with enrollee characteristics. In this paper, we first introduce a simple conceptual framework for analyzing the (potential) distortions from the pandemic for both steps and then provide a hypothetical illustration of how these distortions can lead to under- or overpayment of insurers. The size of these under-/overpayments depends on (1) the impact of the pandemic on patterns in utilization and spending, (2) the distribution of risk types across insurers, (3) the extent to which insurers are disproportionately affected by the pandemic, and (4) features of the risk adjustment system.",COVID-19,Health Care Sciences & Services
2021,Erasmus School of Health Policy & Management,Health Care Governance (HCG),37203108,WOS:000671731400001,10.1080/08989621.2021.1944810,2021-07-11,Early Access,English,Assuring data quality in investigator-initiated trials in dutch hospitals: Balancing between mentoring and monitoring,"The complexity of regulations governing investigator-initiated trials (IITs) places a great burden on hospitals. Consequently, many hospitals seek to alleviate regulatory pressures by seeking an alternative quality management system (QMS). This paper takes the Netherlands as a case. To investigate how QMSs for IITs are organized in Dutch hospitals, we adopted the theoretical concepts of mentoring and monitoring in a mixed methods study in the period 2014-2018. In clinical practice and international guidelines, monitoring is seen as the standard quality assurance for ongoing trials. However, hospitals have implemented monitoring programs that resemble mentoring. The contrast between these ideal types is less pronounced in practice as both combine elements of compliance and feedback for learning in practice. In a monitoring setting, learning is one-way, from monitor to researcher; whereas mentoring focuses on mutual support and learning. To tackle problems in each system, the authority of the Board of Directors (BoD) and the BoD's relationship with staff members are crucial. We discuss the challenges that BoD and staff face in keeping an integrated view of the various components of QMSs.",Data management,Medical Ethics
2021,Erasmus School of Health Policy & Management,Health Technology Assessment (HTA),35174349,WOS:000671517600001,10.1007/s11136-021-02935-w,2021-07-09,Early Access,English,The Mental Health Quality of Life Questionnaire (MHQoL): development and first psychometric evaluation of a new measure to assess quality of life in people with mental health problems,"Purpose The purpose of this study was to develop and psychometrically evaluate a new quality of life measure for use in people with mental health problems-the Mental Health Quality of Life questionnaire (MHQoL). Methods The MHQoL dimensions were based on prior research by Connell and colleagues, highlighting the seven most important quality of life dimensions in the context of mental health. Items were generated following a systematic review we performed and through inviting expert opinion. A focus group and an online qualitative study (N = 120) were carried out to assess the face and content validity of the MHQoL. The MHQoL was further tested for its internal consistency, convergent validity, known-group validity and test-retest reliability among mental healthcare service users (N = 479) and members of the general population (N = 110). Results The MHQoL consists of a descriptive system (MHQoL-7D), including s items covering seven dimensions (self-image, independence, mood, relationships, daily activities, physical health, future) and a visual analogue scale of general psychological well-being (MHQoL-VAS). Internal consistency was high (Cronbach's proportional to = 0.85) and correlations between MHQoL-7D scores and related measures (EQ-5D-5L, MANSA, ICECAP-A, and BSI) supported convergent validity. The intraclass correlation coefficient of the MHQoL-7D sum score for test-retest reliability was 0.85. Known-group validity was supported by the ability to detect significant differences in MHQoL-7D levels between service users and the general population, and between groups with different levels of psychological distress. Conclusion The MHQoL demonstrated favourable psychometric properties and showed promise as a simple and effective measure to assess quality of life in people with mental health problems.",Psychometric evaluation,"Public, Environmental & Occupational Health"
2021,Erasmus School of Health Policy & Management,Health Economics (HE),27624389,WOS:000670212100008,10.1016/j.jval.2021.01.011,2021-07-01,Article,English,Think of the Children: A Discussion of the Rationale for and Implications of the Perspective Used for EQ-5D-Y Health State Valuation,Conclusions: The change from an individual to a child perspective in the valuation of EQ-5D-Y will likely lead to differences in utilities. This has implications for the estimation of incremental health-related quality-of-life gains in economic evaluations of health technologies for children and adolescents and therefore might affect reimbursement decisions. Further research is necessary for gaining insight into the extent to which this impact is normatively and empirically justified.,QALY,Health Care Sciences & Services
2021,Erasmus School of Health Policy & Management,,29938371,WOS:000656710800003,10.1016/j.neubiorev.2021.03.030,2021-07-01,Review,English,Food anticipatory hormonal responses: A systematic review of animal and human studies,"Food anticipatory hormonal responses (cephalic responses) are proactive physiological processes, that allow animals to prepare for food ingestion by modulating their hormonal levels in response to food cues. This process is important for digesting food, metabolizing nutrients and maintaining glucose levels within homeostasis. In this systematic review, we summarize the evidence from animal and human research on cephalic responses. Thirtysix animal and fifty-three human studies were included. The majority (88 %) of studies demonstrated that hormonal levels are changed in response to cues previously associated with food intake, such as feeding time, smell, and sight of food. Most evidence comes from studies on insulin, ghrelin, pancreatic polypeptide, glucagon, and c-peptide. Moreover, impaired cephalic responses were found in disorders related to metabolism and food intake such as diabetes, pancreatic insufficiency, obesity, and eating disorders, which opens discussions about the etiological mechanisms of these disorders as well as on potential therapeutic opportunities.",Food,Neurosciences & Neurology
2019,Erasmus School of Health Policy & Management,Health Services Management & Organisation (HSMO),27267745,WOS:000659981800008,10.1097/HMR.0000000000000261,2021-07-01,Article,English,Do different uses of performance measurement systems in hospitals yield different outcomes?,"The way in which managers use PMSs is related to hospital outcomes. Therefore, hospital managers should critically reflect on how they use PMSs and whether their type of use is in line with the desired hospital outcomes.",public management,Health Care Sciences & Services
2021,Erasmus School of Health Policy & Management,Health Technology Assessment (HTA),30143009,WOS:000670212100015,10.1016/j.jval.2021.01.010,2021-07-01,Article,English,Leveraging the Similarities Between Cost-Effectiveness Analysis and Value-Based Healthcare,"Objectives: This article aims to explore overlaps and differences between the emerging concept of value-based healthcare (VBHC) and the established field of cost-effectiveness analysis (CEA), as well as the feasibility of integrating them together. Interest in VBHC has grown significantly in developed countries that seek to preserve the sustainability of their healthcare systems. Consequently, it is likely that VBHC will soon play a meaningful role in health economic policy and decision making. Because VBHC and CEA share many similarities, academics have pointed out that integration could lead to opportunities for improvements in both fields. Methods: An exploration of overlapping topics in VBHC and CEA literature was performed to establish initial links between them. A new methodologic approach is described to consolidate key value frameworks from the respective fields. Results: Several key themes emerged in which these 2 concepts can reinforce each other: interpretation of value, sensitivity to outcome changes, scientific credibility, methodology and measurement, and usability in decision making. Subsequently, an initial method is described of how the VBHC framework for value could be integrated into CEA through a so-called valuebased healthcare quality-adjusted life year (VBHC-QALY). Conclusion: This article introduces the existing VBHC value framework to the cornerstone of modern CEA and substantiates the presumption of health economists that valuable synergies arise from consolidating the individual strengths of CEA and VBHC. Through integration CEA can help establish robust methods for VBHC implementation, while the latter can complement the former with a new viewpoint and conceptual toolbox for patient centricity and the definition of value.",patient centricity,Health Care Sciences & Services
2021,Erasmus School of Health Policy & Management,Health Economics (HE),41845961,WOS:000685799000001,10.1080/23288604.2021.1909303,2021-07-01,Article,English,Changing Inequalities in Health-Adjusted Life Expectancy by Income and Race in South Africa,"Trends in socioeconomic-related health inequalities is a particularly pertinent topic in South Africa where years of systematic discrimination under apartheid bequeathed a legacy of inequalities in health outcomes. We use three nationally representative datasets to examine trends in income- and race-related inequalities in life expectancy (LE) and health-adjusted life expectancy (HALE) since the beginning of the millennium. We find that, in aggregate, (HA)LE at age five fell substantially between 2001 and 2007, but then increased to above 2001 levels by 2016, with the largest changes observed among prime age adults. Income- and race-related inequalities in both LE and HALE favor relatively well-off and non-Black South Africans in all survey years. Both income- and race-related inequalities in (HA)LE grew between 2001 and 2007, and then narrowed between 2007 to 2016. However, while race-related inequalities in (HA)LE in 2016 were smaller than in 2001, income-related inequalities in (HA)LE were greater in 2016 than in 2001. Based on the patterns and timing observed, these trends in income- and race-related inequalities in (HA)LE are most likely related to the delayed initial policy response to the HIV epidemic, the subsequent rapid and effective rollout of anti-retroviral therapy, and the changes in the overall income distribution among Black South Africans. In particular, the growth of the Black middle class narrowed the HA(LE) gap with the non-Black population but reinforced income-related inequalities.",South Africa,"Public, Environmental & Occupational Health"
2021,Erasmus School of Health Policy & Management,,37347890,WOS:000679941500007,10.2196/29614,2021-07-01,Article,English,Preferences of the Public for Sharing Health Data: Discrete Choice Experiment,Conclusions: Respondents from different countries have different preferences for sharing their health data regarding the value of a review process and the reason for their new use. Offering respondents information about the use of their data and the possibility to opt out is the most preferred governance mechanism.,willingness to share,Medical Informatics
2021,Erasmus School of Health Policy & Management,Health Technology Assessment (HTA),30142419,WOS:000670212100007,10.1016/j.jval.2021.02.007,2021-07-01,Article,English,"Evaluating Complex Health and Social Care Program Using Multi-Criteria Decision Analysis: A Case Study of ""Better Together in Amsterdam North""","Objectives: Multi-criteria decision analysis (MCDA) has been recommended to support policy making in healthcare. However, practical applications of MCDA are sparse. One potential use for MCDA is for the evaluation of programs for complex and vulnerable patients. These complex patients benefit from integrated care programs that span healthcare and social care and aim to improve more than just health outcomes. MCDA can evaluate programs that aim to improve broader outcomes because it allows the evaluation of multiple outcomes alongside each other. In this study, we evaluate an innovative integrated care program in the Netherlands using MCDA. Methods: We used an innovative MCDA framework with broad outcomes of health, well-being, and cost to evaluate the Better Together in Amsterdam North (BSiN) program using preferences of patients, partners, providers, payers, and policy makers in the Netherlands. BSiN provides case management support for a period of 6 months. Seven outcomes that previous research has deemed important to complex patients were measured, including physical functioning and social relationships and participation. Results: We find that the program improved the overall MCDA score marginally, and, thus, after 6 and after 12 months, BSiN was preferred to usual care by all stakeholders. BSiN was preferred to usual care, mostly owing to improvements in psychological well-being and social relationships and participation. Conclusions: The integrated healthcare and social care program BSiN in the Netherlands was preferred to usual care according to an MCDA evaluation. MCDA seems a useful method to evaluate complex programs with benefits beyond health.",well-being,Health Care Sciences & Services
2021,Erasmus School of Health Policy & Management,Health Economics (HE),30020441,WOS:000663773600009,10.1016/j.vaccine.2021.05.091,2021-06-29,Article,English,Don't forget about the future: The impact of including future costs on the cost-effectiveness of adult pneumococcal conjugate vaccination with PCV13 in the Netherlands,"Discussion and conclusion: This study showed a substantial effect of the inclusion of future costs on the ICER of vaccinating with PCV13. Especially when lives of people with underlying health conditions are extended, the impact of future medical costs is large. This inclusion may make vaccination a less attractive option, especially in relation to low thresholds as often applied for prevention. Although this raises important questions, ignoring these real future costs may lead to an inefficient use of healthcare resources. Our results may imply that prices for some vaccines need to be lowered to be cost-effective. (C) 2021 The Author(s). Published by Elsevier Ltd.",Cost-effectiveness thresholds,Research & Experimental Medicine
2021,Erasmus School of Health Policy & Management,Health Services Management & Organisation (HSMO),36821689,WOS:000663616600001,10.1111/etho.12304,2021-06-20,Early Access,English,Making Sense of War Memories: An Analysis of Dutch Veteran Return Trips to Former Yugoslavia,"This article analyzes the war memories and processes of meaning-making of Dutch veterans who returned to places related to their deployment in former Yugoslavia in the 1990s. It argues that the incentive to return can be found in the difficulties that veterans have in assigning positive meaning to their deployment because existing collective and cultural memories about the war and the genocide in Srebrenica do not align with many of the veterans' experiences during and after the war. In the analysis of interviews conducted with seventeen Dutch veterans, attention is paid to their wartime memories, motivation to return, and experiences during the return trips. Returning to former places of deployment provides a way to reconcile memories, especially traumatic ones. The building of these memories passes through several phases: introspection; opening up to family, friends, and relatives; and helping others.",and Bosnia-Herzegovina,Psychology
2021,Erasmus School of Health Policy & Management,Socio-Medical Sciences (SMS),30122361,WOS:000662724700001,10.1111/jocn.15919,2021-06-17,Early Access,English,"Associations between person-centred care and job strain, stress of conscience, and intent to leave among hospital personnel",Conclusion Higher perceived PCC is associated with work-related factors in hospital departments. There is scope for further research in this area.,stress of conscience,Nursing
2021,Erasmus School of Health Policy & Management,Health Services Management & Organisation (HSMO),30076507,WOS:000661237100001,10.1186/s12912-021-00613-3,2021-06-14,Article,English,Nurses in the lead: a qualitative study on the development of distinct nursing roles in daily nursing practice,"Background Transitions in healthcare delivery, such as the rapidly growing numbers of older people and increasing social and healthcare needs, combined with nursing shortages has sparked renewed interest in differentiations in nursing staff and skill mix. Policy attempts to implement new competency frameworks and job profiles often fails for not serving existing nursing practices. This study is aimed to understand how licensed vocational nurses (VNs) and nurses with a Bachelor of Science degree (BNs) shape distinct nursing roles in daily practice. Methods A qualitative study was conducted in four wards (neurology, oncology, pneumatology and surgery) of a Dutch teaching hospital. Various ethnographic methods were used: shadowing nurses in daily practice (65h), observations and participation in relevant meetings (n=56), informal conversations (up to 15 h), 22 semi-structured interviews and member-checking with four focus groups (19 nurses in total). Data was analyzed using thematic analysis. Results Hospital nurses developed new role distinctions in a series of small-change experiments, based on action and appraisal. Our findings show that: (1) this developmental approach incorporated the nurses' invisible work; (2) nurses' roles evolved through the accumulation of small changes that included embedding the new routines in organizational structures; (3) the experimental approach supported the professionalization of nurses, enabling them to translate national legislation into hospital policies and supporting the nurses' (bottom-up) evolution of practices. The new roles required the special knowledge and skills of Bachelor-trained nurses to support healthcare quality improvement and connect the patients' needs to organizational capacity. Conclusions Conducting small-change experiments, anchored by action and appraisal rather than by design, clarified the distinctions between vocational and Bachelor-trained nurses. The process stimulated personal leadership and boosted the responsibility nurses feel for their own development and the nursing profession in general. This study indicates that experimental nursing role development provides opportunities for nursing professionalization and gives nurses, managers and policymakers the opportunity of a 'two-way-window' in nursing role development, aligning policy initiatives with daily nursing practices.",Qualitative study,Nursing
